run_id,seed,gait_id,gait_name,vx_cmd,vy_cmd,wz_cmd,survived,survival_steps,survival_time_s,termination_reason,mean_vx_actual,mean_vy_actual,mean_wz_actual,mean_vx_error,mean_vy_error,mean_wz_error,mean_height,std_height,mean_roll,mean_pitch,mean_contact_frac,mean_contact_acc,mean_torque_norm,xy_drift_m,wall_time_s
0,2,3,amble,0.0,-0.4000000059604645,-0.25,True,1000,10.0,timeout,0.26522777979572615,-0.06788629985699825,-0.11491162185775465,0.26522777979572615,0.33211370610346624,0.14065586886564335,0.3283871936535391,0.002361850346122165,0.03440006853968794,0.10159167713107166,0.635,0.9627777777777777,19.00850266456604,2.602237583234801,1.023
1,1,7,run,0.6000000238418579,-0.4000000059604645,0.0,True,1000,10.0,timeout,0.5958868602249358,-0.0925315556054314,-0.0007148852835073032,0.02111612617969513,0.30746845035503306,0.08740982481478972,0.3382926733180751,0.004910268182809875,0.044354102273435024,0.07435375590956353,0.395,0.895,22.012820496029324,5.918288442917756,1.034
2,0,7,run,0.30000001192092896,0.0,-0.25,True,1000,10.0,timeout,0.40358776579300565,-0.04939612174303167,-0.14226017973224064,0.10358775387207667,0.04939612174303167,0.13198947401775513,0.33521049339061176,0.005039161592493489,0.03504397702118936,0.07383713328284154,0.38472222222222224,0.8402777777777778,21.721465967496236,3.726115882206871,0.862
3,3,1,trot,0.8999999761581421,0.20000000298023224,0.25,True,1000,10.0,timeout,0.6585614847474628,-0.025523124140393823,0.17264379547818356,0.2414384914106793,0.22552312712062605,0.12187973452822512,0.33927313768168676,0.003697724366982105,0.0519354946378,0.05813366416397212,0.49027777777777776,0.9402777777777778,22.171270016564264,5.695376092589978,0.879
4,0,0,bound,0.6000000238418579,0.4000000059604645,0.25,True,1000,10.0,timeout,0.44572550740649197,0.027187855982508863,0.12977320760868882,0.23323739124526682,0.37281214997795564,0.14008551633639904,0.3418642023159239,0.018521080539539825,0.016357633287220574,0.07273255079288339,0.44722222222222224,0.8733333333333333,26.93023982948727,4.084179956441989,0.866
5,4,0,bound,0.30000001192092896,0.4000000059604645,-0.5,True,1000,10.0,timeout,0.2960533263701735,0.05073315741966427,-0.2629744007694535,0.19929438573600136,0.3492668485408002,0.24225104836876402,0.3452432763731471,0.019690389073909242,0.01606753519564299,0.05634152196552329,0.4436111111111111,0.8769444444444444,26.478572743203905,2.1821570145750613,0.871
6,1,0,bound,0.8999999761581421,-0.4000000059604645,0.5,True,1000,10.0,timeout,0.5802470411111911,-0.137930209338665,0.2729022041768379,0.32712282208104926,0.26206979662179947,0.2399591611679514,0.3371416218640749,0.021148603850772416,0.01927083982884523,0.06702028729764313,0.4597222222222222,0.8558333333333333,26.55523182762994,4.31331655498809,0.875
7,2,3,amble,0.30000001192092896,-0.20000000298023224,0.5,True,1000,10.0,timeout,0.40039595507913167,-0.06869159457584222,0.37500918079581524,0.10141912509997686,0.13130840840439,0.15253003866308265,0.3293523445463529,0.003572490997137637,0.026485310731314788,0.09504228859681782,0.62,0.9488888888888889,19.29097383711073,1.9633116852878985,0.896
8,4,3,amble,1.2000000476837158,-0.20000000298023224,0.5,True,1000,10.0,timeout,0.8377508130338457,-0.0919656070613261,0.45726542360252803,0.36224923464987013,0.10897139593527755,0.14893181383609772,0.32843732492162153,0.005712910072663839,0.06211838689748962,0.09810103094877597,0.6027777777777777,0.9394444444444444,21.87030680656433,2.6826562790845236,0.899
9,2,0,bound,0.6000000238418579,-0.4000000059604645,-0.5,True,1000,10.0,timeout,0.4681841366510424,-0.06659698352499012,-0.3228240898380884,0.20624817334736387,0.33340302243547437,0.18039759300183505,0.350415576165175,0.017833008549292203,0.01923991576130961,0.020774887811140463,0.41805555555555557,0.8930555555555556,26.24509587234921,2.936962270404355,0.857
